Year,Zipcode,Age_0_4,Age_5_14,Age_15_64,Age_65_84,Age_85_and_Over,Accidents,Total,Alzheimers,Homicide,Cerebrovascular,Cirrhosis,Respiratory,Diabetes,Heart,Hypertension,InfluenzaPneumonia,Suicide,Neoplasms,Nephrosis,Parkinsons
2005,91343,,,66.0,124.0,82.0,17.0,294.0,,,16.0,,14.0,11.0,94.0,,,,57.0,,
2005,91344,0.0,,59.0,164.0,107.0,19.0,339.0,11.0,,18.0,,21.0,,98.0,,11.0,,98.0,,
2005,91345,0.0,,26.0,61.0,54.0,,155.0,,,,,,,61.0,,,,36.0,,0.0
2005,91352,,,89.0,83.0,63.0,18.0,249.0,,,15.0,,,,70.0,,,,51.0,,
2005,91356,,,15.0,94.0,76.0,,206.0,,,16.0,,,,66.0,,,,54.0,,
2005,91364,0.0,0.0,15.0,95.0,110.0,,235.0,17.0,0.0,16.0,,11.0,,84.0,,14.0,,47.0,0.0,
2005,91367,0.0,0.0,48.0,134.0,115.0,,309.0,,0.0,20.0,,17.0,,98.0,,,,88.0,,
2005,91401,0.0,,50.0,94.0,74.0,,228.0,,,21.0,,,,75.0,,,,49.0,,
2005,91402,,,76.0,106.0,69.0,11.0,274.0,,,15.0,,14.0,,85.0,,,,64.0,,0.0
2005,91403,,0.0,25.0,86.0,75.0,,197.0,,,,,,,68.0,,13.0,,47.0,,
2005,91405,,,70.0,93.0,83.0,12.0,275.0,,,17.0,,11.0,,107.0,,12.0,,46.0,,
2005,91406,,,79.0,129.0,63.0,,283.0,,,12.0,12.0,,,92.0,,,,74.0,,
2005,91411,,0.0,16.0,54.0,51.0,,143.0,,,,,,,50.0,,,,28.0,,
2005,91423,,0.0,27.0,78.0,89.0,,207.0,,0.0,11.0,,,,66.0,,,,45.0,0.0,
2005,91436,0.0,0.0,0.0,60.0,56.0,,135.0,,0.0,,,,,38.0,,,,38.0,,0.0
2005,91501,0.0,0.0,,57.0,32.0,,112.0,,0.0,,,,,35.0,0.0,,0.0,34.0,,
2005,91502,0.0,0.0,0.0,44.0,17.0,,79.0,0.0,,,,,,29.0,0.0,0.0,,13.0,,
2005,91504,0.0,0.0,30.0,78.0,67.0,,183.0,,,12.0,,11.0,,61.0,,,,49.0,,
2005,91505,0.0,0.0,44.0,92.0,76.0,,219.0,,,12.0,0.0,,,73.0,,11.0,,49.0,,
2005,91506,0.0,0.0,13.0,75.0,57.0,,160.0,,,,,,,52.0,,,,35.0,,0.0
